noise_sigma,run_iterations,epoch,rmse_km_s,ssim,velocity_objective,waveform_cost,result_dir
0,100,54,0.20179376557791848,0.6960799144278098,0.020360361913057956,0.00010271298378938809,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,55,0.20102821411094135,0.6970306235922697,0.020206171434317237,5.413736289483495e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,56,0.19977615709127144,0.6988768603436588,0.01995525647107818,8.756127499509603e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,57,0.19859577663681321,0.6998135115178634,0.019720141248989503,4.8800400691106915e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,58,0.19766864383877195,0.7014325414256707,0.019536446378529637,8.331437857123092e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,59,0.19691325277985852,0.703526727354494,0.01938741456017223,6.982429476920515e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,60,0.1961063633019435,0.704647459362807,0.019228852863756925,6.103369014454074e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,61,0.19487735931157033,0.7063213467614979,0.018988592586125442,8.126931061269715e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,62,0.19397072358935621,0.7069248176345918,0.018812320804889218,4.228240140946582e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,63,0.1933162242055499,0.7087318845535266,0.018685581270545218,7.410143734887242e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,64,0.19291528109323855,0.7094971599294866,0.018608152839641623,3.428393029025756e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,65,0.19223306044809768,0.7107190179811055,0.01847677476462099,8.386495028389618e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,66,0.19140178657548113,0.7118411659937577,0.018317321952143015,5.7541357818990946e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,67,0.19087207642697004,0.7124091016940743,0.018216074779771548,6.210232095327228e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,68,0.19030615789778021,0.7140296890719039,0.018108216866907428,7.35014327801764e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,69,0.1895961798864509,0.714825556824054,0.017973355713767722,4.671651913668029e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,70,0.1884881976744105,0.7166288022424062,0.017763900331273823,6.781645788578317e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,71,0.18786970510051476,0.7173835532911235,0.01764751304727719,4.129276567255147e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,72,0.18734166412879033,0.7190104240707902,0.017548449559272244,5.79163315705955e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,73,0.1866403045996033,0.7204009721972565,0.01741730165051635,4.070426803082228e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,74,0.18577191357216774,0.7217586770315009,0.017255601936132483,5.124245217302814e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,75,0.1851447536197783,0.7228006018616414,0.017139289896464207,4.5896998926764354e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,76,0.18468143414391508,0.7238460557476533,0.01705361605872662,3.391676364117302e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,77,0.18397163398749117,0.7252201938494266,0.01692278105601371,4.281682049622759e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,78,0.18324972051395272,0.7261664458598424,0.016790230034220893,3.19439968734514e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
